tweet_id,text,keyword
1474016901063979014,"@BTSxSUD @clip_fm @BTS_twt @BIGHIT_MUSIC @BTSxBRAZIL @BTSxNORTE @BTSxCENT @BTSxNORD @BTSxSUL Olá @clip_fm, quero escutar BUTTER do @BTS_twt tocando na rádio! Agradecida!
#ClipFM
Macaco",macaco
1474016820822781953,"@D1oRod Cara eu até que gostei do Trailer. Eu realmente concordo que as costeletas tão meio exageradas kkk, mas chamar ele de macaco já é exagero kkkk",macaco
1474016373064048647,"Sim, o principal motivo de eu qrer fazer biologia é para ter um bicho preguiça e um macaco👍",macaco
1474016223893639171,@FilosofiaMderna @samira_sls parece eu te pgt sobre o cu do macaco,macaco
1474015998546227201,"RT @silvestre_2125: Quem não me conhece,não me tem como me julgar,cada um é como é .
Cada macaco no seu galho 🙅🏽‍♂️",macaco
1474015904363171844,@dolly_vito o cara riu do furry por um outro cara te chamado ele de preto e de macaco,macaco
1474015784439627785,RT @ma_nriq: amo esse bando de macaco.,macaco
1474015305554923522,"@sxlo77 os argentinos mandavam isso e chamavam os br de macaco numa certa época, por esse motivo perguntei",macaco
1474015156992675850,"RT @rubensvaz: @salimmattarbr @Maria53697352 Dr. Salim, o senhor é um homem vivido e experiente, para plantar essa pergunta ""Para que aumen…",macaco
1474015020262506498,RT @ifzeeknd: algumas pessoas me chamam de militante e já chegaram a falar que eu só falo de racismo mas na verdade nem aqui a gente conseg…,macaco
1474014819225382919,"@vcuthope esse mlk do tweet até chamou um br de macaco 

fix que fala sobre racismo",macaco
1474014242936348672,na próxima vida quero reencarnar como um macaco de saco azul,macaco
1474014198136987655,@paulovitorcec Kkkkkkkkkkkkkkkkkkkk cê é foda macaco,macaco
1474013911926153220,no dia que vocês aprenderem e entenderem que racismo não é só chamar de macaco a cabeça de vocês vai fazer assim https://t.co/DRTcpojmEI,macaco
1474013756623630340,odeio macaco senhor amado que bicho desnecessário pq não evolui de uma vez inferno,macaco
1474013499701530635,"@bchartsnet O povo imitando macaco no estádio de futebol, ou a professora demitida por criticar redação racista de um aluno não ganhou essa proporção toda que o post desnecessário do leifert",macaco
1474012858451218439,"RT @complexoCPX: Foi morador que me falou que todo mundo gostou…🎶
Tropa do macaco russo é a melhor gestão!!🦧🚩❤️ https://t.co/tOk7v0j6dc",macaco
1474012385199415300,@eatkikie lembrei de um caso medico que a pessoa tinha contato com macaco e pegou amebiase no pulmao e perdeu metade do pulmao entao tipokkkkkk???? ela com certza vai pegar algo pior,macaco
1474012249119461379,@dez_no_macaco boe eu curto mais pra lembrar oq eu assisti ao longo do ano e ler algumas criticas de uma galera q eu sigo. ajuda tb a achar mais coisa p ver e tal. acho massa,macaco
1474012223894863883,RT @eoDIOGOCOSTTA: @hang_fc se vc soubesse oque irá acontecer no dia do macaco vc estaria biruta https://t.co/gdcCRh1rwa,macaco
1474012180806868993,"@hugotiago_ basta colocar o Macaco nos sítios certos, para o Rubem Semedo não andar nos sítios errados",macaco
1474012107855347720,"@CryptoRedentor Esqueça eleição.

Mais facil macaco mudar de árvore ou mudar árvore de lugar ?",macaco
1474011985775898639,@mulherchernoby @Victinhu O macaco tá só o fiapo. É a cara da derrota kkkkkkkkkk,macaco
1474011853663744000,"RT @complexoCPX: Foi morador que me falou que todo mundo gostou…🎶
Tropa do macaco russo é a melhor gestão!!🦧🚩❤️ https://t.co/tOk7v0j6dc",macaco
1474011353153253380,"RT @silvestre_2125: Quem não me conhece,não me tem como me julgar,cada um é como é .
Cada macaco no seu galho 🙅🏽‍♂️",macaco
1474011177214746632,"@paollabration Joguei no gato r macaco, bora ver",macaco
1474011172244537358,"RT @complexoCPX: Foi morador que me falou que todo mundo gostou…🎶
Tropa do macaco russo é a melhor gestão!!🦧🚩❤️ https://t.co/tOk7v0j6dc",macaco
1474011140023885824,"@Bonecozo @TatiQBOficial Branco não é morto pela sua cor, branco não tem falta de oportunidade de emprego, ser chamado de branquelo não chega nem o terço que pessoas pretas são chamadas, tizil, neguinho, macaco etc vocês brancos estão se doendo por eu falar branquelo. Racismo reverso não existe, tchau",macaco
1474011017948581894,"@Speedftn__ @kaicflow @skyemxlfoy cara, se uma pessoa chama outra de macaco na intenção de ofender é racismo essa mesma pessoa chamou eu, o swag e a yasmin de preto além de chamar a yasmin de vagabunda.",macaco
1474010739652317186,"Última música nova deles não foi aquela que geral é macaco na selva? 
Tem alguns anos isso aí https://t.co/T7wPDDv767",macaco
1474010633486090242,"@leandroacastro Essa é igual macaco, vive pulando de galho em galho",macaco
1474010095407321094,Cada macaco com sua macaca.✱❣,macaco
1474010002021048327,pensando aqui como eu odeio o bestial... aquele macaco gigante desgraçado! e olha que o miserável ainda fala mn que isso,macaco
1474009742725066754,completamente ALERTA DE MACACO das ideia hoje https://t.co/X86ps5E1Qk,macaco
1474009534024794115,@quartlespam @fdpchave o MACACO LAMBEU MAN,macaco
1474009353569116174,Sim! macaco tocante https://t.co/naSqwy1Cfa,macaco
1474009194760183810,"Escutando uma musiquinha pra embalar a labuta. Primeiro, fui de ""Macaco Sessions: Claudia Leitte"" e agora ""Thiago Soares - Samba da Feira""",macaco
1474009179446816768,@luizacichovski Completamente eu ontem quando me apoixonei por uma pantacourt verde cm estampa de macaco,macaco
1474008706211893251,"@PavaoVitorH Filho da puta estimou, NO MINIMO, 1 milhão de mortos até agosto de 2020 no Brasil e tem macaco q leva ele a sério ainda",macaco
1474008552603848708,"denunciei um post no insta que fala que o ser humano veio do macaco como fake news 
bom d+",macaco
1474008400921079814,ter o meu contato é saber que você vai receber várias figurinhas de macaco,macaco
1474008324760817672,"e minha prima que passou a manhã todinha coçando macaco e na hora que eu fui lavar o banheiro ela queria ir banhar, nisso a mãe avisando pra ela ir",macaco
